City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
69,Karatau,KZ,43.17,70.47,66.07,27,0,7.85,clear sky,0.0,0.0
70,Port Lincoln,AU,-34.73,135.87,54.77,70,0,11.92,clear sky,0.0,0.0
71,Loyga,RU,61.08,44.61,52.63,74,66,4.72,broken clouds,0.0,0.0
72,Kilingi-Nomme,EE,58.15,24.96,53.24,65,25,8.05,scattered clouds,0.0,0.0
73,Tabou,CI,4.42,-7.35,80.78,81,88,8.23,overcast clouds,0.0,0.0
74,Iquique,CL,-20.22,-70.14,69.8,60,75,4.7,broken clouds,0.0,0.0
75,Kavaratti,IN,10.57,72.64,86.47,76,100,10.85,overcast clouds,0.0,0.0
76,Ladnun,IN,27.65,74.38,98.4,17,10,21.27,clear sky,0.0,0.0
77,Oranjemund,NA,-28.55,16.43,57.25,70,13,11.39,few clouds,0.0,0.0
78,Kholm,RU,59.27,32.85,53.33,95,92,4.65,overcast clouds,0.0,0.0
79,Zdzieszowice,PL,50.42,18.12,57.0,76,100,8.01,light rain,0.0,0.0
80,Viseu,PT,40.66,-7.91,81.0,53,40,5.99,scattered clouds,0.0,0.0
81,Caravelas,BR,-17.71,-39.25,75.7,59,15,10.56,few clouds,0.0,0.0
82,Fairfield,US,41.27,-73.32,73.99,83,90,10.29,overcast clouds,0.0,0.0
83,Kruisfontein,ZA,-34.0,24.73,58.59,68,85,7.52,overcast clouds,0.0,0.0
84,Rorvik,NO,64.86,11.24,48.2,93,75,17.22,broken clouds,0.0,0.0
85,Vondrozo,MG,-22.82,47.28,62.44,100,25,2.77,light rain,0.0,0.0
86,Okhotsk,RU,59.38,143.3,37.53,88,98,5.01,overcast clouds,0.0,0.0
87,Shenzhen,CN,22.55,114.07,81.0,98,33,7.07,scattered clouds,0.0,0.0
88,Aluksne,LV,57.42,27.05,51.3,75,64,4.54,broken clouds,0.0,0.0
89,Prachuap Khiri Khan,TH,11.82,99.78,81.03,77,99,5.93,overcast clouds,0.0,0.0
90,Hwange,ZW,-18.37,26.5,62.83,28,0,2.93,clear sky,0.0,0.0
91,Fukue,JP,32.69,128.84,66.88,72,48,10.69,scattered clouds,0.0,0.0
92,Sal Rei,CV,16.18,-22.92,84.2,54,40,16.11,scattered clouds,0.0,0.0
93,Mae Chan,TH,20.15,99.85,77.0,83,20,3.36,few clouds,0.0,0.0
94,Yago,MX,21.83,-105.07,82.4,28,5,5.82,clear sky,0.0,0.0
95,Saryg-Sep,RU,51.5,95.6,39.24,71,97,2.19,overcast clouds,0.0,0.0
96,Viedma,AR,-40.81,-63.0,58.48,44,98,5.12,overcast clouds,0.0,0.0
97,Mehtar Lam,AF,34.67,70.21,93.2,24,40,4.7,scattered clouds,0.0,0.0
98,Cacule,BR,-14.5,-42.22,82.31,44,16,5.55,few clouds,0.0,0.0
99,Hirara,JP,24.8,125.28,77.94,87,70,19.3,broken clouds,0.0,0.0
100,Rostock,DE,54.09,12.14,62.6,45,40,10.29,scattered clouds,0.0,0.0
101,Mian Channun,PK,30.44,72.35,95.49,21,20,16.91,few clouds,0.0,0.0
102,Takoradi,GH,4.88,-1.76,81.63,83,67,10.92,light rain,0.0,0.0
103,Portland,US,45.52,-122.68,80.01,50,99,2.21,overcast clouds,0.0,0.0
104,Llaillay,CL,-32.85,-70.97,62.6,63,75,5.82,broken clouds,0.0,0.0
105,Calabozo,VE,8.92,-67.43,80.92,80,100,4.94,overcast clouds,0.0,0.0
106,Arti,RU,56.42,58.53,53.22,86,18,5.46,few clouds,0.0,0.0
107,Ouesso,CG,1.61,16.05,77.65,82,87,2.93,overcast clouds,0.0,0.0
108,Tateyama,JP,34.98,139.87,64.99,72,89,3.0,overcast clouds,0.0,0.0
109,Chitral,PK,35.85,71.79,69.26,33,74,1.28,broken clouds,0.0,0.0
110,Aktas,KZ,49.78,72.96,46.4,42,17,8.95,few clouds,0.0,0.0
111,Ugoofaaru,MV,5.67,73.0,82.67,78,100,11.81,moderate rain,0.0,0.0
112,Shache,CN,38.42,77.24,78.67,16,38,11.12,scattered clouds,0.0,0.0
113,Nova Olimpia,BR,-14.8,-57.29,86.45,44,0,1.41,clear sky,0.0,0.0
114,Port Keats,AU,-14.25,129.55,72.28,39,92,8.01,overcast clouds,0.0,0.0
115,Port Macquarie,AU,-31.43,152.92,52.0,100,8,2.24,clear sky,0.0,0.0
116,Plavinas,LV,56.62,25.73,54.16,84,89,5.39,overcast clouds,0.0,0.0
117,Kashary,RU,49.04,41.01,66.27,76,0,11.27,clear sky,0.0,0.0
118,Durban,ZA,-29.86,31.03,64.99,81,0,1.12,clear sky,0.0,0.0
119,Rocha,UY,-34.48,-54.33,68.27,59,0,0.94,clear sky,0.0,0.0
120,Channel-Port Aux Basques,CA,47.57,-59.14,48.11,90,89,14.92,overcast clouds,0.0,0.0
121,Oktyabrskoye,RU,43.06,44.74,68.0,72,12,8.95,few clouds,0.0,0.0
122,Zhigansk,RU,66.77,123.37,34.74,80,100,21.54,overcast clouds,0.0,0.0
123,Hofn,IS,64.25,-15.21,50.0,87,90,11.41,light intensity drizzle,0.0,0.0
124,Harper,LR,4.38,-7.72,81.03,80,89,8.05,overcast clouds,0.0,0.0
125,Vao,NC,-22.67,167.48,73.29,82,16,10.65,few clouds,0.0,0.0
126,Bandarbeyla,SO,9.49,50.81,82.45,78,99,16.11,light rain,0.0,0.0
127,Ambon,ID,-3.7,128.18,84.0,94,61,10.18,moderate rain,0.0,0.0
128,Anton Lizardo,MX,19.05,-95.98,93.99,59,40,4.7,scattered clouds,0.0,0.0
129,Broome,US,42.25,-75.83,75.0,78,90,11.41,overcast clouds,0.0,0.0
130,Namibe,AO,-15.2,12.15,76.03,62,13,9.69,few clouds,0.0,0.0
131,Vanavara,RU,60.34,102.28,34.83,82,47,1.66,scattered clouds,0.0,0.0
132,Iquitos,PE,-3.75,-73.25,87.8,62,75,5.82,broken clouds,0.0,0.0
133,Chokurdakh,RU,70.63,147.92,47.62,51,94,14.34,overcast clouds,0.0,0.0
134,Leshukonskoye,RU,64.9,45.76,55.8,58,49,6.38,scattered clouds,0.0,0.0
135,Ossora,RU,59.24,163.07,34.66,86,97,9.53,overcast clouds,0.0,0.0
136,Luanda,AO,-8.84,13.23,77.0,83,20,4.7,few clouds,0.0,0.0
137,Hundorp,NO,61.56,9.94,54.79,41,25,6.15,scattered clouds,0.0,0.0
138,San Felipe,VE,10.34,-68.74,92.34,43,91,3.74,overcast clouds,0.0,0.0
139,Narsaq,GL,60.92,-46.05,48.2,69,40,10.29,shower rain,0.0,0.0
140,Roald,NO,62.58,6.13,52.0,66,52,10.29,broken clouds,0.0,0.0
141,Maningrida,AU,-12.07,134.27,67.06,88,44,8.5,scattered clouds,0.0,0.0
142,Ternate,ID,0.8,127.4,81.41,80,27,4.21,light rain,0.0,0.0
143,Mangan,IN,27.52,88.53,68.81,49,99,2.98,overcast clouds,0.0,0.0
144,Alta Floresta,BR,-9.88,-56.09,72.93,93,92,1.45,overcast clouds,0.0,0.0
145,Burnie,AU,-41.07,145.92,52.0,77,42,3.0,scattered clouds,0.0,0.0
146,Talnakh,RU,69.49,88.4,37.4,84,75,8.95,broken clouds,0.0,0.0
147,Colac,AU,-38.33,143.58,48.0,99,33,4.83,scattered clouds,0.0,0.0
148,Yar-Sale,RU,66.83,70.83,51.78,67,100,15.43,overcast clouds,0.0,0.0
149,Churachandpur,IN,24.33,93.67,63.63,96,41,1.74,light rain,0.0,0.0
